step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
248;0;22553704;248;162;800;800;9.12;0.56;109.96;4.67;552;0;238.00;0
249;0;22553718;249;159;800;800;9.23;0.56;110.09;4.67;551;0;239.00;0
250;0;22553731;250;160;823;826;9.35;0.57;109.75;4.54;573;0;240.00;3
253;0;22553746;253;154;824;826;9.45;0.58;110.72;4.54;571;0;241.00;2
255;0;22553761;255;141;826;826;9.61;0.59;110.87;4.53;571;0;242.00;0
257;0;22553773;257;139;827;827;9.72;0.59;110.72;4.52;570;0;243.00;0
258;0;22553787;258;138;827;827;9.71;0.59;111.20;4.52;569;0;244.00;0
261;0;22553798;261;126;831;831;9.71;0.59;112.01;4.51;570;0;245.00;0
264;0;22553808;264;126;831;831;9.62;0.59;112.62;4.51;567;0;246.00;0
264;0;22553821;264;125;835;835;9.59;0.59;112.62;4.49;571;0;247.00;0
267;0;22553833;267;122;835;835;9.59;0.59;112.91;4.49;568;0;248.00;0
269;0;22553842;269;127;835;835;9.60;0.59;113.38;4.49;566;0;249.00;0
273;0;22553859;273;123;835;835;9.62;0.59;114.89;4.49;562;0;250.00;0
277;0;22553869;277;123;835;835;9.69;0.59;115.44;4.49;558;0;251.00;0
278;0;22553877;278;129;845;847;9.74;0.60;115.42;4.44;567;0;252.00;2
282;0;22553887;282;125;845;847;9.78;0.60;115.87;4.44;563;0;253.00;2
282;0;22553907;282;128;847;847;9.88;0.60;115.87;4.43;565;0;254.00;0
284;0;22553917;284;126;847;847;9.99;0.61;116.34;4.43;563;0;255.00;0
288;0;22553935;288;128;847;847;10.07;0.61;117.31;4.43;559;0;256.00;0
290;0;22553943;290;130;847;847;10.12;0.62;117.49;4.43;557;0;257.00;0
293;0;22553952;293;132;848;848;10.11;0.61;118.17;4.43;555;0;258.00;0
294;0;22553962;294;135;848;848;10.11;0.61;118.19;4.43;554;0;259.00;0
296;0;22553978;296;139;854;854;10.07;0.61;118.46;4.40;558;0;260.00;0
299;0;22553988;299;142;855;855;10.00;0.61;119.25;4.40;556;0;261.00;0
300;0;22553998;300;141;855;855;10.02;0.61;119.69;4.40;555;0;262.00;0
302;0;22554008;302;148;855;855;9.96;0.60;119.81;4.40;553;0;263.00;0
303;0;22554017;303;151;859;859;9.90;0.60;120.24;4.38;556;0;264.00;0
303;0;22554026;303;150;859;859;9.93;0.60;120.24;4.38;556;0;265.00;0
303;0;22554037;303;147;859;859;9.94;0.60;120.24;4.38;556;0;266.00;0
305;0;22554046;305;145;860;860;9.98;0.60;120.86;4.37;555;0;267.00;0
306;0;22554054;306;143;864;864;9.91;0.60;120.87;4.36;558;0;268.00;0
307;0;22554066;307;138;864;864;10.01;0.61;121.20;4.36;557;0;269.00;0
309;0;22554077;309;137;868;870;10.14;0.61;121.53;4.34;559;0;270.00;2
311;0;22554086;311;133;868;870;10.21;0.62;122.03;4.34;557;0;271.00;2
311;0;22554098;311;136;870;870;10.32;0.63;122.03;4.33;559;0;272.00;0
315;0;22554107;315;134;870;870;10.36;0.63;122.53;4.33;555;0;273.00;0
316;0;22554118;316;131;874;874;10.41;0.63;123.01;4.32;558;0;274.00;0
320;0;22554128;320;130;874;874;10.43;0.63;123.85;4.32;554;0;275.00;0
325;0;22554139;325;130;874;874;10.44;0.63;124.24;4.32;549;0;276.00;0
328;0;22554148;328;129;874;874;10.50;0.63;124.32;4.32;546;0;277.00;0
330;0;22554155;330;130;875;875;10.43;0.63;124.60;4.31;545;0;278.00;0
332;0;22554167;332;122;876;876;10.44;0.63;124.66;4.31;544;0;279.00;0
333;0;22554175;333;116;876;876;10.42;0.63;124.70;4.31;543;0;280.00;0
335;0;22554186;335;110;877;877;10.46;0.63;124.84;4.31;542;0;281.00;0
337;0;22554195;337;102;877;877;10.51;0.64;124.98;4.31;540;0;282.00;0
339;0;22554205;339;97;877;877;10.66;0.65;124.94;4.31;538;0;283.00;0
340;0;22554217;340;94;877;877;10.74;0.65;125.19;4.31;537;0;284.00;0
341;0;22554225;341;91;877;877;10.87;0.66;125.64;4.31;536;0;285.00;0
342;0;22554236;342;91;877;877;10.95;0.66;125.69;4.31;535;0;286.00;0
343;0;22554247;343;83;877;877;11.09;0.67;125.74;4.31;534;0;287.00;0
345;0;22554257;345;99;945;1004;10.87;0.67;125.74;4.00;600;0;288.00;59
345;0;22554284;345;88;948;1005;10.94;0.67;125.74;3.99;603;0;289.00;57
347;0;22554293;347;84;955;1005;11.05;0.68;126.16;3.97;608;0;290.00;50
350;0;22554308;350;81;959;1005;10.97;0.68;125.83;3.97;609;0;291.00;46
350;0;22554321;350;86;964;1005;10.96;0.67;125.83;3.97;614;0;292.00;41
352;0;22554337;352;80;965;1005;10.98;0.67;126.05;3.97;613;0;293.00;40
352;0;22554352;352;82;968;1005;10.99;0.68;126.05;3.98;616;0;294.00;37
355;0;22554372;355;77;970;1005;11.14;0.68;126.76;3.98;615;0;295.00;35
356;0;22554396;356;78;974;1006;11.27;0.69;126.83;4.00;618;0;296.00;32
358;0;22554417;358;77;977;1007;11.37;0.70;127.22;4.02;619;0;297.00;30
360;0;22554436;360;76;980;1007;11.42;0.70;127.31;4.03;620;0;298.00;27
362;0;22554452;362;79;982;1008;11.39;0.70;127.47;4.05;620;0;299.00;26
362;0;22554476;362;85;987;1014;11.32;0.69;127.47;4.06;625;0;300.00;27
363;0;22554501;363;79;991;1014;11.35;0.70;127.36;4.10;628;0;301.00;23
365;0;22554517;365;85;992;1014;11.37;0.70;127.25;4.11;627;0;302.00;22
368;0;22554535;368;88;998;1018;11.32;0.69;128.06;4.17;630;0;303.00;20
