tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
60.00;-37061736#7_0;33.63;13.20;3.00;3.00;583371595#1_0;0.00;11.79;vehroute_6.1062.0 tripinfo_6.1062.0 routing_6.1062.0 emissions_6.1062.0;57.00;6.1062.0;1;926.71;1.25;0.00;10.03;taxi;;0;0.00;222301.205094;2576.898276;16.982874;90.444521;4.242489;0;95.556817
66.00;48484826_0;279.83;13.23;5.00;5.00;--199263543_0;0.00;4.29;vehroute_0.87.0 tripinfo_0.87.0 routing_0.87.0 emissions_0.87.0;61.00;0.87.0;1;792.77;1.20;0.00;11.13;passenger;;0;0.00;188054.654091;2503.050001;15.747181;76.439428;3.436286;0;80.836245
67.00;49049126_0;160.53;11.87;7.00;7.00;--199263543_0;0.00;4.83;vehroute_0.88.0 tripinfo_0.88.0 routing_0.88.0 emissions_0.88.0;60.00;0.88.0;1;790.06;1.17;0.00;11.29;passenger;;0;0.00;185176.605093;2332.551020;14.788941;74.371420;3.343758;0;79.599092
68.00;-49030944#2_0;126.35;18.29;0.00;0.00;-47826546_0;0.00;12.26;vehroute_1.530.0 tripinfo_1.530.0 routing_1.530.0 emissions_1.530.0;68.00;1.530.0;1;772.29;1.10;0.00;9.01;passenger;;0;0.00;193540.716416;2412.429538;15.497646;77.017868;3.221062;0;83.194777
69.00;gneE5_0;349.68;12.87;0.00;0.00;192483968#1_1;55.53;19.96;vehroute_0.184.0 tripinfo_0.184.0 routing_0.184.0 emissions_0.184.0;69.00;0.184.0;1;1054.82;1.20;0.00;5.76;passenger;;0;0.00;196018.318796;1896.254129;13.241840;76.413751;3.345972;0;84.259411
69.00;775830384_1;114.22;16.05;42.00;0.86;53281545#2_0;0.00;16.55;vehroute_0.281.2 tripinfo_0.281.2 routing_0.281.2 emissions_0.281.2;27.00;0.281.2;1;398.70;0.99;0.00;2.00;passenger;;0;0.00;74112.274245;776.015693;5.252163;29.429398;1.288180;0;31.857486
71.00;-37061736#7_0;33.63;13.11;21.00;0.43;583371595#1_0;0.00;21.16;vehroute_0.33.1 tripinfo_0.33.1 routing_0.33.1 emissions_0.33.1;50.00;0.33.1;1;931.01;1.27;0.00;3.64;passenger;;0;0.00;149131.266592;1396.509397;9.918269;57.505115;2.678610;0;64.104701
75.00;163041337_0;150.93;12.53;0.00;0.00;583371595#1_1;61.94;20.35;vehroute_0.34.0 tripinfo_0.34.0 routing_0.34.0 emissions_0.34.0;75.00;0.34.0;1;1236.53;1.22;0.00;9.50;passenger;;1;1.00;199135.470663;2108.251914;14.335935;77.856740;3.539675;0;85.599350
75.00;47661751#0_0;121.06;12.63;0.00;0.00;583371595#1_0;109.96;19.63;vehroute_0.35.0 tripinfo_0.35.0 routing_0.35.0 emissions_0.35.0;75.00;0.35.0;1;1301.79;1.18;0.00;4.07;passenger;;0;0.00;202749.228484;1559.347614;11.879840;76.712285;3.385098;0;87.152686
77.00;53292332#0_0;29.81;12.63;0.00;0.00;583371595#1_0;169.49;18.05;vehroute_0.37.0 tripinfo_0.37.0 routing_0.37.0 emissions_0.37.0;77.00;0.37.0;1;1486.53;1.25;0.00;4.25;passenger;;0;0.00;252945.515434;2340.358709;16.629362;97.792256;4.628358;0;108.729552
78.00;53281792_0;131.79;13.47;1.00;1.00;192483968#1_1;0.00;17.42;vehroute_0.186.0 tripinfo_0.186.0 routing_0.186.0 emissions_0.186.0;77.00;0.186.0;1;1263.51;1.27;0.00;13.11;passenger;;0;0.00;234363.354670;2197.438998;15.561125;91.579566;4.063534;0;100.742078
79.00;199263543_0;77.99;13.56;0.00;0.00;583371595#1_1;125.03;20.76;vehroute_0.36.0 tripinfo_0.36.0 routing_0.36.0 emissions_0.36.0;79.00;0.36.0;1;1461.59;1.25;0.00;4.74;passenger;;0;0.00;228921.094368;1876.565524;13.696042;86.382463;3.901858;0;98.402787
79.00;47661751#0_0;121.06;13.16;4.00;4.00;583371595#1_0;173.97;18.37;vehroute_6.1064.0 tripinfo_6.1064.0 routing_6.1064.0 emissions_6.1064.0;75.00;6.1064.0;1;1240.31;1.28;0.00;13.09;taxi;;0;0.00;299676.591192;3378.517289;22.564781;121.115110;5.721863;0;128.816868
81.00;48484723_0;142.71;18.67;0.00;0.00;49070929#0_0;67.20;12.75;vehroute_7.1192.0 tripinfo_7.1192.0 routing_7.1192.0 emissions_7.1192.0;81.00;7.1192.0;1;1057.51;1.15;0.00;21.00;taxi;;2;4.00;265647.767554;3707.040234;23.233510;108.948286;5.091816;0;114.189910
81.00;775830384_0;114.22;7.10;16.00;16.00;53281545#2_0;12.10;0.00;vehroute_2.50.0 tripinfo_2.50.0 routing_2.50.0 emissions_2.50.0;65.00;2.50.0;1;394.45;1.20;15.00;29.60;bus;;1;2.00;873701.281206;1569.918942;320.844043;7098.134568;164.734507;0;372.569361
87.00;163041337_0;150.93;12.44;4.00;4.00;583371595#1_0;0.00;13.89;vehroute_6.1063.0 tripinfo_6.1063.0 routing_6.1063.0 emissions_6.1063.0;83.00;6.1063.0;1;1298.47;1.16;0.00;10.73;taxi;;0;0.00;290062.914732;3100.115303;20.901661;115.022066;5.169919;0;124.684781
89.00;775830384_2;114.22;20.94;0.00;0.00;252220162_0;39.37;14.53;vehroute_6.1138.0 tripinfo_6.1138.0 routing_6.1138.0 emissions_6.1138.0;89.00;6.1138.0;1;985.18;1.31;0.00;36.20;taxi;;1;23.00;290185.887881;5990.194653;34.243682;120.841119;5.894762;0;124.738922
89.00;775830384_0;114.22;19.08;0.00;0.00;48484721#2_0;48.66;19.95;vehroute_6.1141.0 tripinfo_6.1141.0 routing_6.1141.0 emissions_6.1141.0;89.00;6.1141.0;1;455.14;1.20;0.00;65.21;taxi;;1;50.00;262374.796642;9956.650144;51.587269;115.812241;5.976780;0;112.786733
90.00;775830384_1;114.22;16.76;0.00;0.00;48484721#2_0;0.00;17.33;vehroute_0.261.0 tripinfo_0.261.0 routing_0.261.0 emissions_0.261.0;90.00;0.261.0;1;509.16;1.04;0.00;59.75;passenger;;1;48.00;237877.025302;8922.956820;46.227741;102.901968;5.144832;0;102.256265
93.00;47663822#2.31_1;76.83;19.20;0.00;0.00;583371595#1_1;0.00;20.12;vehroute_1.32.0 tripinfo_1.32.0 routing_1.32.0 emissions_1.32.0;93.00;1.32.0;1;1047.06;1.21;0.00;39.85;passenger;;1;28.00;269745.410694;6428.018386;35.629095;111.464421;5.439584;0;115.953248
93.00;775830384_1;114.22;16.84;0.00;0.00;gneE8_0;0.00;11.63;vehroute_0.241.0 tripinfo_0.241.0 routing_0.241.0 emissions_0.241.0;93.00;0.241.0;1;583.53;1.05;0.00;54.61;passenger;;1;45.00;263078.254429;8595.969600;45.196987;111.497400;5.382200;0;113.088917
93.00;775830384_2;114.22;18.32;0.00;0.00;192483968#1_0;102.96;19.35;vehroute_6.1131.0 tripinfo_6.1131.0 routing_6.1131.0 emissions_6.1131.0;93.00;6.1131.0;1;1475.94;1.16;0.00;15.63;taxi;;1;3.00;300759.066372;3239.156935;21.696672;118.766261;5.474571;0;129.282519
94.00;775830384_1;114.22;19.61;0.00;0.00;252220162_0;0.00;15.00;vehroute_0.221.0 tripinfo_0.221.0 routing_0.221.0 emissions_0.221.0;94.00;0.221.0;1;1024.55;1.35;0.00;40.48;passenger;;1;22.00;295658.624163;5977.275095;34.250323;123.319967;5.939173;0;127.091345
94.00;37022128_0;106.30;21.30;0.00;0.00;252220162_1;0.00;14.34;vehroute_0.222.0 tripinfo_0.222.0 routing_0.222.0 emissions_0.222.0;94.00;0.222.0;1;1019.01;1.29;0.00;38.15;passenger;;1;21.00;341161.462951;6709.217701;38.733989;143.005158;6.947568;0;146.650817
95.00;775830384_2;114.22;18.06;0.00;0.00;192483968#1_1;0.00;18.84;vehroute_0.181.0 tripinfo_0.181.0 routing_0.181.0 emissions_0.181.0;95.00;0.181.0;1;1578.90;1.13;0.00;9.86;passenger;;0;0.00;277452.903581;2603.205590;18.399070;107.727712;4.821780;0;119.264358
96.00;37022128_0;106.30;19.48;4.00;4.00;192483968#1_1;0.00;10.17;vehroute_0.189.0 tripinfo_0.189.0 routing_0.189.0 emissions_0.189.0;92.00;0.189.0;1;1570.27;1.24;0.00;15.43;passenger;;0;0.00;379525.605643;4553.274434;29.888227;155.107581;7.473129;0;163.140070
