step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
51;0;625280783;51;135;398;415;8.79;0.54;52.98;4.36;347;0;94.00;17
54;0;625280787;54;136;399;415;8.80;0.54;55.31;4.37;345;0;95.00;16
58;0;625280791;58;138;409;428;8.60;0.53;58.12;4.26;351;0;96.00;19
59;0;625280796;59;138;410;428;8.68;0.53;58.76;4.25;351;0;97.00;18
59;0;625280800;59;139;410;428;8.65;0.53;58.76;4.25;351;0;98.00;18
62;0;625280804;62;137;411;429;8.72;0.53;60.58;4.24;349;0;99.00;18
62;0;625280810;62;129;411;429;8.83;0.54;60.58;4.24;349;0;100.00;18
63;0;625280820;63;128;413;433;8.93;0.54;61.17;4.23;350;0;101.00;20
64;0;625280829;64;125;413;433;8.97;0.54;61.81;4.23;349;0;102.00;20
64;0;625280834;64;123;418;437;8.98;0.55;61.81;4.19;354;0;103.00;19
67;0;625280842;67;116;418;437;9.02;0.55;63.34;4.19;351;0;104.00;19
67;0;625280849;67;110;418;437;9.16;0.55;63.34;4.19;351;0;105.00;19
67;0;625280856;67;102;418;437;9.26;0.56;63.34;4.19;351;0;106.00;19
67;0;625280863;67;94;418;437;9.38;0.57;63.34;4.19;351;0;107.00;19
68;0;625280869;68;89;429;449;9.64;0.59;63.99;4.08;361;0;108.00;20
69;0;625280878;69;82;430;449;9.81;0.60;64.64;4.08;361;0;109.00;19
69;0;625280886;69;78;430;449;10.11;0.62;64.64;4.08;361;0;110.00;19
69;0;625280893;69;75;430;449;10.31;0.63;64.64;4.08;361;0;111.00;19
69;0;625280909;69;70;430;449;10.56;0.64;64.64;4.08;361;0;112.00;19
69;0;625280917;69;70;430;449;10.74;0.66;64.64;4.08;361;0;113.00;19
69;0;625280923;69;68;431;450;10.93;0.67;64.64;4.07;362;0;114.00;19
70;0;625280932;70;68;431;450;11.02;0.67;64.67;4.07;361;0;115.00;19
70;0;625280939;70;67;435;456;11.20;0.69;64.67;4.04;365;0;116.00;21
70;0;625280946;70;66;438;457;11.36;0.70;64.67;4.29;368;0;117.00;19
73;0;625280953;73;66;438;457;11.43;0.70;66.77;4.29;365;0;118.00;19
75;0;625280959;75;68;441;457;11.54;0.70;68.13;4.74;366;0;119.00;16
75;0;625280975;75;70;445;462;11.67;0.71;68.13;4.70;370;0;120.00;17
76;0;625280981;76;72;445;462;11.76;0.72;68.82;4.70;369;0;121.00;17
77;0;625280988;77;74;448;462;11.77;0.72;68.57;5.16;371;0;122.00;14
78;0;625280994;78;73;449;463;11.79;0.72;68.81;5.15;371;0;123.00;14
78;0;625281003;78;76;455;467;11.71;0.72;68.81;5.48;377;0;124.00;12
80;0;625281010;80;78;456;467;11.80;0.72;69.90;5.58;376;0;125.00;11
80;0;625281017;80;80;458;470;11.86;0.72;69.90;5.56;378;0;126.00;12
80;0;625281025;80;82;462;470;11.88;0.73;69.90;5.89;382;0;127.00;8
80;0;625281032;80;84;462;470;11.93;0.73;69.90;5.89;382;0;128.00;8
80;0;625281038;80;87;465;470;11.84;0.73;69.90;6.12;385;0;129.00;5
83;0;625281045;83;84;467;474;11.97;0.73;71.61;6.10;384;0;130.00;7
83;0;625281060;83;85;469;474;12.03;0.74;71.61;6.20;386;0;131.00;5
85;0;625281066;85;86;470;474;12.09;0.74;73.00;6.20;385;0;132.00;4
86;0;625281073;86;88;470;474;12.18;0.74;73.70;6.20;384;0;133.00;4
89;0;625281080;89;90;472;475;12.17;0.74;74.49;6.30;383;0;134.00;3
93;0;625281086;93;90;474;477;12.07;0.74;76.78;6.28;381;0;135.00;3
93;0;625281097;93;92;475;477;12.05;0.73;76.78;6.35;382;0;136.00;2
94;0;625281106;94;93;476;478;12.01;0.73;77.43;6.34;382;0;137.00;2
94;0;625281118;94;95;476;478;12.06;0.74;77.43;6.34;382;0;138.00;2
96;0;625281128;96;97;477;478;12.01;0.73;78.27;6.41;381;0;139.00;1
99;1;625281138;99;99;477;478;12.01;0.73;79.41;6.41;378;1;140.00;1
101;1;625281163;101;102;478;478;11.78;0.72;79.56;6.44;377;1;141.00;0
103;1;625281173;103;102;478;478;11.52;0.70;80.43;6.44;375;1;142.00;0
107;1;625281182;107;105;478;478;11.32;0.69;81.20;6.44;371;1;143.00;0
107;1;625281189;107;124;552;605;10.98;0.69;81.20;5.59;445;1;144.00;53
107;1;625281207;107;118;557;606;10.88;0.69;81.20;5.54;450;1;145.00;49
110;1;625281213;110;117;566;606;10.88;0.69;82.26;5.49;456;1;146.00;40
114;1;625281220;114;118;568;606;10.81;0.68;83.70;5.48;454;1;147.00;38
114;1;625281227;114;122;572;606;10.83;0.68;83.70;5.47;458;1;148.00;34
117;1;625281233;117;120;578;606;10.84;0.68;84.88;5.46;461;1;149.00;28
118;1;625281241;118;124;582;611;10.75;0.67;85.43;5.47;464;1;150.00;29
120;1;625281249;120;124;584;611;10.76;0.67;86.46;5.47;464;1;151.00;27
