tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
64.00;53281543_0;136.33;12.83;32.00;32.00;408074469#0_0;12.10;0.00;vehroute_3.300.0 tripinfo_3.300.0 routing_3.300.0 emissions_3.300.0;32.00;3.300.0;1;301.69;1.20;0.00;12.10;bus;;0;0.00;599316.088174;930.580237;181.268781;4623.535524;99.228511;0;255.592338
66.00;775830384_1;114.22;18.35;42.00;0.86;53281545#2_0;0.00;18.53;vehroute_0.281.2 tripinfo_0.281.2 routing_0.281.2 emissions_0.281.2;24.00;0.281.2;1;406.55;1.11;0.00;1.28;passenger;;0;0.00;66657.829326;547.576343;4.034342;25.620782;1.127264;0;28.653144
68.00;-37061736#7_0;33.63;11.41;5.00;5.00;583371595#1_0;0.00;12.94;vehroute_6.1062.0 tripinfo_6.1062.0 routing_6.1062.0 emissions_6.1062.0;63.00;6.1062.0;1;933.54;1.11;0.00;10.36;taxi;;0;0.00;214717.631845;2390.181211;15.903375;85.540603;3.809423;0;92.297348
74.00;48484826_0;279.83;12.59;6.00;6.00;--199263543_0;0.00;3.54;vehroute_0.87.0 tripinfo_0.87.0 routing_0.87.0 emissions_0.87.0;68.00;0.87.0;1;792.77;1.18;0.00;17.18;passenger;;0;0.00;236070.449231;3421.900477;21.133753;97.556407;4.406764;0;101.476089
74.00;49049126_0;160.53;13.24;8.00;8.00;--199263543_0;0.00;2.11;vehroute_0.88.0 tripinfo_0.88.0 routing_0.88.0 emissions_0.88.0;66.00;0.88.0;1;790.06;1.24;0.00;19.76;passenger;;0;0.00;291757.506262;4515.251748;27.569077;123.634122;5.903949;0;125.413002
77.00;gneE5_0;349.68;11.51;0.00;0.00;192483968#1_0;117.03;17.70;vehroute_0.184.0 tripinfo_0.184.0 routing_0.184.0 emissions_0.184.0;77.00;0.184.0;1;1002.78;1.06;0.00;8.87;passenger;;0;0.00;193277.337794;2307.072008;14.998840;77.311050;3.343601;0;83.081315
78.00;47661751#0_0;121.06;11.83;0.00;0.00;583371595#1_0;120.22;19.39;vehroute_0.35.0 tripinfo_0.35.0 routing_0.35.0 emissions_0.35.0;78.00;0.35.0;1;1294.06;1.16;0.00;7.11;passenger;;0;0.00;235998.378691;2154.517356;15.238885;91.316828;4.066317;0;101.444933
78.00;-37061736#7_0;33.63;12.78;21.00;0.43;583371595#1_1;0.00;19.91;vehroute_0.33.1 tripinfo_0.33.1 routing_0.33.1 emissions_0.33.1;57.00;0.33.1;1;926.71;1.19;0.00;7.52;passenger;;0;0.00;199749.229404;2350.241769;15.496601;80.719624;3.805982;0;85.862890
82.00;163041337_0;150.93;11.45;0.00;0.00;583371595#1_1;61.12;18.02;vehroute_0.34.0 tripinfo_0.34.0 routing_0.34.0 emissions_0.34.0;82.00;0.34.0;1;1237.35;1.08;0.00;7.20;passenger;;0;0.00;231440.655090;2094.023375;14.828985;88.902049;3.732893;0;99.486051
82.00;199263543_0;77.99;13.93;0.00;0.00;583371595#1_1;112.55;20.97;vehroute_0.36.0 tripinfo_0.36.0 routing_0.36.0 emissions_0.36.0;82.00;0.36.0;1;1474.07;1.26;0.00;8.70;passenger;;0;0.00;279691.613433;3018.246651;20.370025;110.917767;5.254582;0;120.226428
