tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
64.00;775830384_1;114.22;19.85;42.00;0.86;53281545#2_0;0.00;20.45;vehroute_0.281.2 tripinfo_0.281.2 routing_0.281.2 emissions_0.281.2;22.00;0.281.2;1;406.55;1.23;0.00;0.99;passenger;;0;0.00;70299.396304;847.621034;5.567144;28.815186;1.434121;0;30.218330
65.00;gneE5_0;349.68;13.04;0.00;0.00;192483968#1_0;98.71;21.30;vehroute_0.184.0 tripinfo_0.184.0 routing_0.184.0 emissions_0.184.0;65.00;0.184.0;1;1021.10;1.28;0.00;7.44;passenger;;0;0.00;209361.451720;2230.616860;15.134589;82.443973;3.734924;0;89.994978
71.00;48484826_0;279.83;13.15;6.00;6.00;--199263543_0;0.00;4.81;vehroute_0.87.0 tripinfo_0.87.0 routing_0.87.0 emissions_0.87.0;65.00;0.87.0;1;792.77;1.20;0.00;15.20;passenger;;0;0.00;249758.926709;3475.476405;21.734734;103.597375;4.744404;0;107.359919
71.00;-49030944#2_0;126.35;16.40;0.00;0.00;-47826546_0;0.00;11.51;vehroute_1.530.0 tripinfo_1.530.0 routing_1.530.0 emissions_1.530.0;71.00;1.530.0;1;772.29;1.04;0.00;9.33;passenger;;0;0.00;172885.518298;2319.232321;14.618211;69.640572;2.936632;0;74.316008
73.00;163041337_0;150.93;11.89;0.00;0.00;583371595#1_1;60.52;19.76;vehroute_0.34.0 tripinfo_0.34.0 routing_0.34.0 emissions_0.34.0;73.00;0.34.0;1;1237.95;1.19;0.00;4.82;passenger;;0;0.00;166910.064852;1319.466248;9.854362;63.077447;2.762706;0;71.747101
74.00;49049126_0;160.53;12.20;8.00;8.00;--199263543_0;0.00;4.71;vehroute_0.88.0 tripinfo_0.88.0 routing_0.88.0 emissions_0.88.0;66.00;0.88.0;1;790.06;1.10;0.00;13.96;passenger;;0;0.00;232941.945464;3386.245041;20.972555;96.944518;4.442743;0;100.131153
74.00;-37061736#7_0;33.63;12.90;21.00;0.43;583371595#1_0;0.00;19.67;vehroute_0.33.1 tripinfo_0.33.1 routing_0.33.1 emissions_0.33.1;53.00;0.33.1;1;933.54;1.18;0.00;2.66;passenger;;0;0.00;135363.394682;1236.664156;8.823530;52.223885;2.351720;0;58.186559
75.00;199263543_0;77.99;13.22;0.00;0.00;583371595#1_1;120.66;21.70;vehroute_0.36.0 tripinfo_0.36.0 routing_0.36.0 emissions_0.36.0;75.00;0.36.0;1;1465.96;1.30;0.00;4.30;passenger;;0;0.00;245535.884379;2314.478022;16.400854;94.731897;4.517067;0;105.544542
79.00;775830384_0;114.22;7.16;17.00;17.00;53281545#2_0;12.10;0.00;vehroute_2.50.0 tripinfo_2.50.0 routing_2.50.0 emissions_2.50.0;62.00;2.50.0;1;394.45;1.20;15.00;26.66;bus;;1;2.00;908642.391992;1618.228327;333.534892;7353.131206;170.198034;0;387.475865
83.00;48484723_0;142.71;19.82;0.00;0.00;49070929#0_0;63.87;13.80;vehroute_7.1192.0 tripinfo_7.1192.0 routing_7.1192.0 emissions_7.1192.0;83.00;7.1192.0;1;1060.84;1.24;0.00;26.85;taxi;;2;7.00;290683.717190;4046.839349;25.342173;118.840854;5.625183;0;124.951702
85.00;163041337_0;150.93;13.27;5.00;5.00;583371595#1_0;0.00;15.46;vehroute_6.1063.0 tripinfo_6.1063.0 routing_6.1063.0 emissions_6.1063.0;80.00;6.1063.0;1;1305.30;1.23;0.00;10.73;taxi;;0;0.00;248665.024777;2729.596449;18.362553;99.357244;4.576203;0;106.889599
