tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
84.00;199263543_0;77.99;12.86;0.00;0.00;583371595#1_1;127.41;20.43;vehroute_0.36.0 tripinfo_0.36.0 routing_0.36.0 emissions_0.36.0;84.00;0.36.0;1;1459.21;1.23;0.00;8.96;passenger;;0;0.00;270767.452826;3096.091354;20.605456;108.731159;5.174273;0;116.390297
84.00;48484723_0;142.71;18.13;0.00;0.00;49070929#0_0;63.77;12.92;vehroute_7.1192.0 tripinfo_7.1192.0 routing_7.1192.0 emissions_7.1192.0;84.00;7.1192.0;1;1060.94;1.16;0.00;23.61;taxi;;2;3.00;268064.298024;3877.891777;23.893692;110.047555;5.141650;0;115.228737
86.00;53281792_0;131.79;14.34;1.00;1.00;192483968#1_1;0.00;18.40;vehroute_0.186.0 tripinfo_0.186.0 routing_0.186.0 emissions_0.186.0;85.00;0.186.0;1;1263.51;1.37;0.00;25.19;passenger;;1;6.00;260378.349433;3409.727071;21.722221;105.140218;4.944677;0;111.924836
88.00;53292332#0_0;29.81;11.51;0.00;0.00;583371595#1_0;168.96;16.26;vehroute_0.37.0 tripinfo_0.37.0 routing_0.37.0 emissions_0.37.0;88.00;0.37.0;1;1487.06;1.13;0.00;6.52;passenger;;0;0.00;234775.883331;2038.008097;14.619283;90.425967;4.009153;0;100.919411
89.00;775830384_1;114.22;17.71;0.00;0.00;48484721#2_0;0.00;18.51;vehroute_0.261.0 tripinfo_0.261.0 routing_0.261.0 emissions_0.261.0;89.00;0.261.0;1;509.16;1.11;0.00;60.23;passenger;;1;46.00;253360.743018;9048.871629;47.138265;109.170427;5.473703;0;108.911907
89.00;47663822#2.31_2;76.83;22.84;0.00;0.00;-252220824_0;0.00;15.23;vehroute_1.490.0 tripinfo_1.490.0 routing_1.490.0 emissions_1.490.0;89.00;1.490.0;1;1601.51;1.37;0.00;16.63;passenger;;0;0.00;414979.071860;5401.549155;34.699424;169.708251;8.416742;0;178.379982
89.00;775830384_0;114.22;17.45;0.00;0.00;48484721#2_0;53.88;21.05;vehroute_6.1141.0 tripinfo_6.1141.0 routing_6.1141.0 emissions_6.1141.0;89.00;6.1141.0;1;449.92;1.26;0.00;66.90;taxi;;1;48.00;242600.571757;9687.515420;49.795004;106.260019;5.424235;0;104.286984
90.00;775830384_1;114.22;19.30;0.00;0.00;gneE8_0;0.00;13.98;vehroute_0.241.0 tripinfo_0.241.0 routing_0.241.0 emissions_0.241.0;90.00;0.241.0;1;583.53;1.26;0.00;58.47;passenger;;1;47.00;270583.961681;9332.445878;48.886913;116.600697;5.885537;0;116.315321
91.00;775830384_0;114.22;19.38;0.00;0.00;252220162_0;29.46;13.64;vehroute_6.1138.0 tripinfo_6.1138.0 routing_6.1138.0 emissions_6.1138.0;91.00;6.1138.0;1;995.09;1.23;0.00;33.84;taxi;;1;21.00;278443.696919;5816.589856;33.152655;116.237716;5.614387;0;119.691504
93.00;47663822#2.31_1;76.83;19.45;0.00;0.00;583371595#1_1;0.00;20.43;vehroute_1.32.0 tripinfo_1.32.0 routing_1.32.0 emissions_1.32.0;93.00;1.32.0;1;1047.06;1.23;0.00;40.58;passenger;;1;29.00;273741.783282;6345.487537;35.448780;112.723719;5.519011;0;117.671043
