tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
75.00;47661751#0_0;121.06;13.52;0.00;0.00;583371595#1_0;120.66;21.70;vehroute_0.35.0 tripinfo_0.35.0 routing_0.35.0 emissions_0.35.0;75.00;0.35.0;1;1291.09;1.30;0.00;11.43;passenger;;0;0.00;253456.377372;2971.038689;19.600905;102.028553;4.882206;0;108.949072
79.00;775830384_0;114.22;8.27;18.00;18.00;53281545#2_0;12.10;0.00;vehroute_2.50.0 tripinfo_2.50.0 routing_2.50.0 emissions_2.50.0;61.00;2.50.0;1;394.45;1.20;15.00;25.39;bus;;0;0.00;917226.006764;1621.140777;330.569037;7405.350864;170.458856;0;391.135590
82.00;199263543_0;77.99;13.02;0.00;0.00;583371595#1_1;135.57;20.85;vehroute_0.36.0 tripinfo_0.36.0 routing_0.36.0 emissions_0.36.0;82.00;0.36.0;1;1451.05;1.25;0.00;9.45;passenger;;0;0.00;282100.952579;2943.745400;20.073703;110.996244;5.177358;0;121.262202
83.00;48484723_0;142.71;18.89;0.00;0.00;49070929#0_0;71.76;13.17;vehroute_7.1192.0 tripinfo_7.1192.0 routing_7.1192.0 emissions_7.1192.0;83.00;7.1192.0;1;1052.95;1.19;0.00;24.56;taxi;;1;4.00;297632.361838;4201.878580;26.215288;122.075940;5.717376;0;127.938657
88.00;53281792_0;131.79;12.23;1.00;1.00;192483968#1_1;0.00;15.09;vehroute_0.186.0 tripinfo_0.186.0 routing_0.186.0 emissions_0.186.0;87.00;0.186.0;1;1263.51;1.17;0.00;17.20;passenger;;0;0.00;248540.265809;2922.698928;19.176129;99.717438;4.480025;0;106.836170
90.00;53283046#0_0;165.89;18.70;10.00;10.00;--199263543_0;0.00;6.56;vehroute_0.89.0 tripinfo_0.89.0 routing_0.89.0 emissions_0.89.0;80.00;0.89.0;1;1273.32;1.20;0.00;12.48;passenger;;0;0.00;266983.257071;3214.060610;20.980576;106.993032;4.953301;0;114.763931
90.00;775830384_1;114.22;17.72;0.00;0.00;48484721#2_0;0.00;17.99;vehroute_0.261.0 tripinfo_0.261.0 routing_0.261.0 emissions_0.261.0;90.00;0.261.0;1;509.16;1.08;0.00;60.18;passenger;;1;46.00;239781.260513;8552.054411;44.589830;102.690905;5.089091;0;103.074652
90.00;775830384_0;114.22;17.60;0.00;0.00;48484721#2_0;51.31;20.06;vehroute_6.1141.0 tripinfo_6.1141.0 routing_6.1141.0 emissions_6.1141.0;90.00;6.1141.0;1;452.49;1.20;0.00;66.29;taxi;;1;50.00;244522.213118;9622.820434;49.528911;106.062624;5.344280;0;105.113134
91.00;37022128_0;106.30;21.40;0.00;0.00;252220162_1;0.00;14.61;vehroute_0.222.0 tripinfo_0.222.0 routing_0.222.0 emissions_0.222.0;91.00;0.222.0;1;1019.01;1.31;0.00;36.05;passenger;;2;18.00;279139.448472;5168.441155;30.244258;116.183004;5.631174;0;119.990046
91.00;775830384_1;114.22;19.46;0.00;0.00;gneE8_0;0.00;14.18;vehroute_0.241.0 tripinfo_0.241.0 routing_0.241.0 emissions_0.241.0;91.00;0.241.0;1;583.53;1.28;0.00;59.58;passenger;;1;46.00;266415.388877;8999.510460;47.248024;114.630204;5.725152;0;114.523299
